id,algorithm,artifact_type,stage,profile,owner,detector_kind,normative_strength,constructibility,baseline_status,expected_detector,deployable_action,strict_action,justification
MLKEM-SPKI-AID-PARAMS-ABSENT,ML-KEM,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,partial,detector.algorithm_identifier.parameters_absent,block,block,Malformed ML-KEM AlgorithmIdentifier breaks PKIX interoperability at issuance and consumption time.
MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,ML-KEM,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,incomplete,detector.key_usage.mlkem_key_encipherment_only,block,block,ML-KEM certificate keyUsage is an issuance policy requirement and should block misprofiled certificates.
MLKEM-SPKI-PUBLIC-KEY-LENGTH,ML-KEM,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,covered-for-encoded-key,detector.spki.payload_length,block,block,Wrong ML-KEM public-key length is a structural defect that indicates malformed SPKI encoding.
MLKEM-SPKI-ENCODE-DECODE-IDENTITY,ML-KEM,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,covered-by-external-lint-path,detector.mlkem.encode_decode_identity,warn,block,Unreduced ML-KEM encoded keys are structurally suspicious and should at least surface operationally until local detection is implemented.
MLKEM-PRIVATE-SEED-LENGTH,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,gap,detector.private_key.mlkem_seed_length,block,block,ML-KEM seed-only private keys must match the RFC container size before import proceeds.
MLKEM-PRIVATE-EXPANDED-LENGTH,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,gap,detector.private_key.mlkem_expanded_length,block,block,ML-KEM expanded private keys must match parameter-set sizes before import proceeds.
MLKEM-PRIVATE-BOTH-CONSISTENCY,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,import-crypto,should,covered,gap,detector.private_key.mlkem_seed_expanded_consistency,block,block,A both-form ML-KEM private key must be rejected on seed/expanded mismatch during import.
MLKEM-PRIVATE-EXPANDED-HASH-CHECK,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,import-crypto,must,covered,gap,detector.private_key.mlkem_hash_check,block,block,Expanded ML-KEM private keys require the FIPS/RFC hash check before use.
MLDSA-SPKI-AID-PARAMS-ABSENT,ML-DSA,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,partial,detector.algorithm_identifier.parameters_absent,block,block,Malformed ML-DSA AlgorithmIdentifier breaks PKIX interoperability at issuance and validation time.
MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,structural,must,covered,partial,detector.signature_algorithm.mldsa_parameters_absent,block,block,ML-DSA certificate signatureAlgorithm encoding is a PKIX conformance requirement and should block issuance defects.
MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,incomplete,detector.key_usage.mldsa_requires_signing_usage,block,block,ML-DSA certificates need a permitted signing usage when keyUsage is present.
MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,covered-for-prohibited-bits,detector.key_usage.mldsa_forbid_encipherment_agreement,block,block,ML-DSA certificates must not advertise encipherment or agreement semantics they cannot safely support.
MLDSA-SPKI-PUBLIC-KEY-LENGTH,ML-DSA,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,gap-or-unverified,detector.spki.payload_length,block,block,Wrong ML-DSA public-key length is a structural defect that indicates malformed SPKI encoding.
MLDSA-PKIX-HASHML-FORBIDDEN,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,gap,detector.algorithm_policy.hashml_dsa_forbidden,block,block,HashML-DSA is prohibited in the covered PKIX certificate contexts and should always block.
MLDSA-PRIVATE-SEED-LENGTH,ML-DSA,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,gap,detector.private_key.mldsa_seed_length,block,block,ML-DSA seed-only private keys must match the RFC container size before import proceeds.
MLDSA-PRIVATE-EXPANDED-LENGTH,ML-DSA,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,gap,detector.private_key.mldsa_expanded_length,block,block,ML-DSA expanded private keys must match parameter-set sizes before import proceeds.
MLDSA-PRIVATE-BOTH-CONSISTENCY,ML-DSA,private-key-container,private-key-container/import,pkix-core,artifact-importer,import-crypto,should,covered,gap,detector.private_key.mldsa_seed_expanded_consistency,block,block,A both-form ML-DSA private key must be rejected on seed/expanded mismatch during import.
